OECD average|482|461|463|500|-3|-14|-9
B-S-J-Z (China)|597|527|612|560|m|m|m
Singapore|560|535|563|563|-2|-8|-12
Macao (China)|541|501|549|572|-2|-9|-3
Chinese Taipei|540|508|546|551|2|-7|-1
Japan|538|503|525|557|-9|-13|-10
Estonia|527|499|508|541|1|-12|-2
Korea|526|501|522|538|-2|-15|-5
United Kingdom|511|494|488|523|12|0|-1
Canada*|510|490|485|525|-5|-17|-12
New Zealand*|509|497|480|531|5|-4|1
Australia|509|491|478|532|2|-7|-10
Finland|504|474|469|507|-7|-16|-15
United States*|502|490|463|513|2|-14|-2
Switzerland|501|470|499|520|-1|-13|-9
Ireland|500|500|480|511|-4|-16|-12
Austria|497|467|477|509|6|-13|-10
Hong Kong (China)|496|480|522|545|-25|-20|-19
Poland|495|482|484|507|-4|-7|-5
Türkiye|494|472|462|473|18|16|8
Czechia|490|468|477|517|-7|-20|-10
Belgium|490|466|480|508|-1|-13|-10
Lithuania|488|464|470|512|3|-8|-5
Germany|486|465|464|498|-7|-15|-11
Netherlands*|485|441|483|506|-3|-18|-9
Sweden|485|466|464|503|-8|-21|-18
Slovenia|484|445|460|486|-16|-24|-25
France|483|456|458|497|-4|-18|-16
Italy|483|474|468|490|6|-7|-3
Portugal|482|462|460|501|-3|-15|-12
Hungary|480|452|459|495|-6|-21|-13
Denmark|478|460|471|506|-16|-29|-19
Spain|477|451|457|499|-7|-23|-16
Croatia|476|453|455|464|-6|-22|-8
Slovak Republic|475|448|469|497|13|1|5
Luxembourg|474|443|458|506|m|m|m
Norway*|470|453|452|491|-8|-24|-17
Latvia|468|430|460|507|-25|-45|-23
United Arab Emirates|458|433|453|476|26|15|21
Viet Nam|457|392|443|461|m|m|m
Malta|453|415|439|463|-13|-31|-27
Ukrainian regions (17 of 27)|448|418|431|478|-1|-8|-9
Uruguay|445|423|405|462|9|-7|-4
Chile|442|436|403|466|-1|-12|-9
Israel|442|436|433|444|-23|-38|-25
Iceland|441|422|450|490|-6|-14|-9
Brunei Darussalam|439|426|435|496|-6|-4|-7
Mauritius|438|405|407|m|m|m|m
Uzbekistan|438|m|m|402|83|m|m
Montenegro|435|418|411|423|32|13|5
Albania*|435|408|433|437|m|m|m
Qatar|434|418|416|452|2|-1|2
Greece|434|423|424|461|-7|-16|-6
Thailand|432|392|407|476|23|13|13
Serbia|429|415|417|437|-18|-26|-23
Romania|425|413|419|442|-3|-16|-9
Mongolia|424|374|419|443|12|-4|-6
Costa Rica|424|416|387|452|13|1|3
Georgia|422|384|416|413|38|10|26
Moldova|422|404|410|452|5|-7|-4
Bulgaria|421|387|405|425|0|-18|-12
Kazakhstan|420|385|414|449|-4|-1|-12
Malaysia|419|393|397|484|3|5|-11
Colombia|414|399|381|432|3|-9|-2
Mexico|414|408|388|453|4|-7|-7
Saudi Arabia|413|387|390|426|23|5|1
Cyprus|411|379|412|427|0|-2|-7
Azerbaijan|409|374|422|388|m|m|m
Brazil|409|408|377|406|6|-2|-2
Jordan|407|363|388|408|32|20|26
Peru|406|390|382|436|-2|-18|-9
Ecuador|393|385|366|422|m|m|m
Argentina|393|389|367|403|-13|-12|-11
Indonesia|389|365|364|427|6|7|-2
El Salvador|385|366|346|401|12|2|3
Cambodia|382|347|366|m|35|18|29
North Macedonia|378|357|380|389|-1|-1|-9
Philippines|373|367|371|434|17|20|16
Lebanon|372|331|377|358|m|m|m
Armenia|369|348|376|354|m|m|m
Kyrgyzstan|363|344|364|388|m|m|m
Dominican Republic|361|346|339|379|0|-6|0
Palestinian Authority|359|350|354|393|-17|-6|-18
Morocco|358|321|355|374|-7|-18|-10
Kosovo|357|340|350|359|0|-2|-5
Paraguay|355|352|334|352|-13|-21|-4
Kurdistan Region (Iraq)|352|312|339|m|m|m|m
Guatemala|351|337|334|369|-22|-37|-10
Zambia|337|325|314|m|m|m|m
Kenya|335|320|326|278|m|m|m
Dushanbe (Tajikistan)|334|368|382|m|m|m|m
Rwanda|317|301|312|m|m|m|m
